Company Name,Software,Current Funding Level,Company Size,Website,Industry
Holland Hydroponics,,,1-10 employees,http://www.hollandhydro.com,Horticulture~Manufacturing
Advanced Network Information,,,11-50 employees,https://ani-psg.com/,Professional Training & Coaching
Advanced Network Products,HTML5~jQuery~Google Analytics~WordPress~Google Tag Manager~Microsoft Outlook~reCAPTCHA~nginx~Google Maps~Google Fonts~DigiCert~Skype for Business~Cloudflare~Amazon EC2~MailChimp~HubSpot Marketing Hub~HubSpot Website Platform~ShareThis~GoDaddy DNS~Twilio SendGrid~DialogTech~HubSpot CRM~Reflexion,,11-50 employees,http://www.anp.net/,Information Services~Information Technology
Advanced Network Management,HTML5~jQuery~Google Analytics~Google Fonts~Google Tag Manager~WordPress~Apache Web Server~PHP~Microsoft Outlook~nginx~Vimeo~Microsoft Office 365~DigiCert~GoDaddy DNS~MediaElement.js~Gravatar~OpenResty~Gravity Forms~Modernizr~Dyn DNS~Starfield SSL~Google Drive~WordFence~ServiceNow~Lightbox,,101-250 employees,http://anm.com,Information Technology
Advanced Network Technologies,,,,,Communications Infrastructure~Telecommunications
Holland Container Innovations,HTML5~Google Fonts~Google Analytics~Vimeo~jQuery~WordPress~Google Tag Manager~Apache Web Server~reCAPTCHA~Facebook Comments~Underscore.js~AngularJS~Wistia~Polyfill~Raven.js~GreenSock Animation Platform~Yandex Metrica~Wix~Embedly,2873426,1-10 employees,https://4foldcontainers.com/,Shipping~Transportation
Advanced Networks,,,,https://www.anisi.com/,Information Technology~Web Development~Wireless
"Holland Engineering, Inc.",Google Analytics~HTML5~jQuery~Google Fonts~Vimeo~WordPress~G Suite (formerly Google Apps for Work)~Microsoft Outlook~PHP~Apache Web Server~reCAPTCHA~Font Awesome~Microsoft Office 365~GoDaddy DNS~Starfield SSL~Reflexion,,101-250 employees,http://hollandengineering.com,Energy~Renewable Energy~Solar
Holland Financial,HTML5~Google Analytics~jQuery~Google Fonts~Bootstrap~Google Drive~GoDaddy DNS~Adobe Flash~Microsoft IIS~ASP.NET~Starfield SSL~Plesk~GoDaddy Professional Email,,11-50 employees,http://planstronger.com,Finance~Financial Services~Life Insurance
Holland Gaat Duurzaam,,,1-10 employees,https://www.hollandgaatduurzaam.nl/,Energy Efficiency~Retail~Solar
Advanced Network Solutions,HTML5~Google Analytics~jQuery~Google Fonts~WordPress~Microsoft Outlook~reCAPTCHA~Apache Web Server~Microsoft Office 365~Skype for Business~Adobe Typekit~HubSpot Marketing Hub~Font Awesome~Google Tag Manager~OpenResty~HubSpot Website Platform~Gravity Forms~Proofpoint~Emma~Salesforce Pardot~McAfee SaaS~Nelio A/B Testing~Network Solutions,,51-100 employees,http://www.ansolutions.com/,Information Services~Information Technology
Advanced Network Solutions,,,11-50 employees,https://www.ansnetworks.com/,Cloud Computing~Consulting~Hardware~IT Management
Advanced Network Solutions,,,11-50 employees,http://www.anscorp.com/,Human Resources~Information Technology~Robotics
Advanced Network Systems,HTML5~Vimeo~Google Analytics~Google Fonts~Google Tag Manager~Apache Web Server~PHP~nginx~Modernizr~jQuery~Amazon EC2~Network Solutions~Optimizely~AdRoll~ExpressionEngine~Google Doubleclick~Emma~LeadLander~VisualVisitor~Opentracker,,11-50 employees,http://www.getadvanced.net,EdTech~Education~Information Services~Network Security~Security~Wireless
aido health,,300000,1-10 employees,https://aido.id,Health Care~Home Health Care~Information Technology~Wellness
aidodys,HTML5~Google Analytics~jQuery~Vimeo~WordPress~Google Fonts~Google Tag Manager~G Suite (formerly Google Apps for Work)~PHP~reCAPTCHA~Apache Web Server~nginx~Hotjar~MailChimp~AWS Elastic Load Balancing~Segment~Fastly~DigiCert~OVH Hosted Exchange~OVH Hosting~Amazon EC2~Anycast DNS~SkySignature,,1-10 employees,https://aidodys.com/,Education~Internet~Software
Holland Harper,,,1-10 employees,https://www.hollandharper.co.uk/,Accounting~Advice~Financial Services
AiDock,,1300000,11-50 employees,http://aidock.net/,Artificial Intelligence~Document Management~Document Preparation~Freight Service~Machine Learning~Shipping~Supply Chain Management
Holland Harvey Architects,,,11-50 employees,http://hollandharvey.com/,Architecture~Real Estate
Aidoc,HTML5~Google Analytics~Google Fonts~jQuery~Vimeo~WordPress~Google Tag Manager~G Suite (formerly Google Apps for Work)~PHP~Bootstrap~reCAPTCHA~nginx~Google Maps~Microsoft Office 365~Apache Web Server~Cloudflare~DigiCert~Gravatar~Amazon EC2~Amazon Route 53~Font Awesome~HubSpot Marketing Hub~Adobe Typekit~GreenSock Animation Platform~WooCommerce~W3 Total Cache~ActiveCampaign~Unbounce~Modernizr~CrazyEgg,61500000,101-250 employees,http://aidoc.com,Artificial Intelligence~Health Care~Machine Learning~Medical Device
Holland Home,HTML5~Google Analytics~jQuery~WordPress~Google Fonts~Vimeo~Google Tag Manager~PHP~Apache Web Server~Microsoft Outlook~nginx~Microsoft Office 365~DigiCert~Gravatar~Fonts.com~Facebook Comments~Google Compute Engine~vzaar~Font Awesome~Comodo SSL~FlexSlider~Network Solutions~CrazyEgg~WP Engine~Vidyard~TinyMCE~HealthcareSource~Mimecast Gateway,,1001-5000 employees,https://hollandhome.org/,Health Care~Health Diagnostics~Medical
Aidon,,,51-100 employees,https://www.aidon.com,Information Services~Information Technology
Advanced Networking,,,1-10 employees,http://www.advnetwork.com/,Telecommunications
Holland Hospital,Google Analytics~jQuery~Google Fonts~Vimeo~WordPress~Google Tag Manager~Google Maps~Google Drive~DigiCert~Facebook Comments~ASP.NET~Adobe Flash~Microsoft IIS~AddThis~ShareThis~Mimecast Gateway~Microsoft .NET~Dyn DNS~Google Doubleclick~OneSignal~Salesforce Desk.com~McAfee SaaS~Pendo~HealthcareSource,,1001-5000 employees,https://www.hollandhospital.org/,Health Care~Home Health Care~Hospital
AIDONIC,,,1-10 employees,https://aidonic.io,Funding Platform~Information Technology~Software
Advanced Networks,,,1-10 employees,https://www.anwsol.com/,Cloud Computing~Consulting~Cyber Security
Holland FinTech,HTML5~Google Analytics~jQuery~Google Fonts~Vimeo~WordPress~G Suite (formerly Google Apps for Work)~Bootstrap~PHP~reCAPTCHA~Google Maps~Modernizr~Google Drive~Apache Web Server~Adobe Flash~Gravatar~Facebook Comments~Polyfill~HubSpot Marketing Hub~Hotjar~MediaElement.js~HubSpot Website Platform~Zendesk~Lightbox~Gravity Forms~Disqus~WooCommerce~MaxMind~bxSlider~HubSpot CRM~HubSpot Forms~Lead Flows~AWS Application Load Balancer~Zendesk Chat (Formerly Zopim)~Mapbox~Firebase~SurveyMonkey~VWO~Select2~Google Charts~WordFence~Twilio~VigLink~Clicky~Yahoo! Query Language (YQL)~SmartRecruiters~HubSpot Marketing Free~Cronon Domain Registration~Agile CRM,,11-50 employees,http://hollandfintech.com,Financial Services~FinTech~Incubators
Aidos,,50000,1-10 employees,https://www.aidos.nyc,Blockchain~FinTech~Impact Investing
Advanced Networks IT Support LA,HTML5~Google Analytics~Vimeo~jQuery~WordPress~Google Tag Manager~Apache Web Server~nginx~Google Maps~G Suite (formerly Google Apps for Work)~Modernizr~Cloudflare~Gravatar~New Relic~reCAPTCHA~Lightbox~Comodo SSL~Bluehost~NSONE~Autotask~Formilla~Twilio SendGrid,,11-50 employees,http://adv-networks.com/,Consulting~Information Technology
Holland Innovation Platform,,,1-10 employees,http://www.hollandip.com,Internet
AIDOT,,10000000,11-50 employees,http://www.aidot.ai/,Artificial Intelligence~Machine Learning~Medical~Software
Advanced Neurosurgery Associates,,,11-50 employees,https://ana-neurosurgery.com/,Health Care~Medical~Neuroscience
Holland Linguistic Services,,,1-10 employees,http://hollandlinguisticservices.com,Education
Aidough,,,1-10 employees,http://www.aidough.com,Apps~Artificial Intelligence~Finance
"First West Brokerage Services, Inc. (First West)",,,,,Financial Services~Insurance
First Western Securities,,,1-10 employees,http://firstwesternsecurities.com,Advice~Finance~Financial Services~Retirement
First Westroads Bank,,,101-250 employees,http://firstwestroads.bank,Electronics~Financial Services
First Winthrop Corporation,,,1-10 employees,http://www.winthropreit.com,Real Estate
First Western Bank,HTML5~jQuery~Google Analytics~Google Tag Manager~Google Maps~Underscore.js~Microsoft .NET~nginx~Mailgun~Matomo (formerly Piwik)~Varnish Cache~Constant Contact~Media Temple Hosting~Play~Banno,,101-250 employees,https://www.firstwestern.com/,Banking~Financial Services~Personal Finance
First Western Bank & Trust,,,101-250 employees,https://www.firstwestern.bank/,Banking~Finance~Financial Services
First Western Federal Savings Bank,,,1-10 employees,https://myiralender.com,Banking~Financial Services
First Western Properties,,,11-50 employees,https://fwp-inc.com/,Commercial Real Estate~Finance~Real Estate
First Western Financial,HTML5~Google Fonts~jQuery~Vimeo~WordPress~Google Tag Manager~Microsoft Outlook~Apache Web Server~Google Analytics~reCAPTCHA~Adobe Typekit~Adobe Flash~Google Drive~Gravatar~Fonts.com~AddThis~Microsoft Office 365~HubSpot Marketing Hub~Hotjar~Modernizr~MediaElement.js~Network Solutions~Google Doubleclick~Mailgun~HubSpot Forms~OpenSSL~AdRoll~HubSpot Website Platform~HubSpot CRM~Lead Flows~VWO~Greenhouse~Bounce Exchange~Entrust~HubSpot Marketing Free~Bugsnag~Blueshift~The Muse~Mapbox,8978935,251-500 employees,https://myfw.com/,Banking~Financial Services~Wealth Management
First West Properties Corporation,,,11-50 employees,https://www.fwpc.net/,Commercial Real Estate~Leasing~Property Management
First Wilshire Securities Management,,,11-50 employees,https://www.firstwilshire.com/,Angel Investment~Family~Finance~Financial Services
First Women's Bank,,,1-10 employees,https://www.firstwomensbank.com/,Banking~Finance~Financial Services
First Working Capital Group,,,1-10 employees,http://www.firstworkingcapital.com,Financial Services
First World Mortgage,HTML5~Google Fonts~Google Analytics~jQuery~Vimeo~PHP~Apache Web Server~Modernizr~reCAPTCHA~Facebook Comments~GoDaddy DNS~WordPress~GoDaddy Professional Email~Cufon~ShareThis~Paycom~New Relic,,51-100 employees,http://www.firstworldmortgage.com,Financial Services~Real Estate
First Zipper UK,,,1-10 employees,http://www.zippaproducts.co.uk,3D Printing~Advertising~Business Development~Printing
First Zoom,,,,,Artificial Intelligence~Education~Machine Learning
First Wind Energy Systems,,,,,Agriculture~Energy~Renewable Energy
First-8 ApS,,,,https://www.first-8.dk/,E-Commerce
First1 Networks,,,1-10 employees,http://www.first1.de/,Internet~Online Games
First2Learn.com,,,1-10 employees,http://www.first2learn.com,Internet
First4Blinds,,,1-10 employees,http://www.first4blindsnorthampton.co.uk,Construction~Interior Design~Service Industry
First30Days,,5000000,11-50 employees,http://www.first30days.com,Advertising~Social Media~Social Media Marketing
First50,,,1-10 employees,http://www.first50.com,Banking~Venture Capital
FirstAED,,,,http://firstaed.com,Infrastructure
First Wind,,44000000,501-1000 employees,http://www.firstwind.com,Energy~Renewable Energy~Wind Energy
first.jobs powered by Techruit,,,11-50 employees,http://first.jobs,CRM~Human Resources~Information Technology~Internet~Internet of Things
First-corporation,,,101-250 employees,https://1st-corp.com/,Construction~Real Estate
First2Care,,,11-50 employees,https://www.first2care.com.au,Consulting~Insurance~Technical Support
first2group,,,1-10 employees,http://www.first2group.com/,Banking~Recruiting~Staffing Agency
First4IT,,,1-10 employees,https://www.first4it.com/,Advertising~Brand Marketing~Digital Marketing~SEO~Web Development
First4lawyers,HTML5~jQuery~Google Fonts~Vimeo~WordPress~Google Tag Manager~Google Analytics~Bootstrap~nginx~Microsoft Office 365~reCAPTCHA~Google Maps~Cloudflare~GoDaddy DNS~Adobe Typekit~DigiCert~Microsoft Outlook~New Relic~AddThis~Fonts.com~Hotjar~Zendesk~Mandrill~Starfield SSL~AWS Application Load Balancer~ipstack~Microsoft .NET~Lucky Orange~SurveyMonkey~Zendesk Chat (Formerly Zopim)~Trustpilot~Polyfill~VWO~Pingdom~Woopra~Affiliate Window~EPi Ektron CMS~Sophos~AB Tasty~OptinMonster~AppsFlyer~Sitecore~Host Europe~MouseStats~ResponseTap~i3.com,,11-50 employees,https://www.first4lawyers.com/,Consulting~Legal~Medical
Firstaff Personnel Consultants,,,11-50 employees,https://firstaff.ie/,Recruiting~Staffing Agency
Firstaff Nursing Services,,,11-50 employees,https://www.aveanna.com/our-story/,Health Care~Staffing Agency
FirstAfrica Oil Plc,,,,,Oil and Gas
FirstAgain,,,,,Internet
FirstAmerica Automotive,,,,,Automotive
Firstangels,,,11-50 employees,https://firstangels.org/,Angel Investment~Incubators~Venture Capital
Firstar Corporation,,,,,Manufacturing
FirstArray Enterprise,,,1-10 employees,http://firstarray.com,Hotel~Point of Sale~Restaurants
FirstAscent,,,,http://first-ascent.jp/,Management Consulting~Recruiting~SEO
FirstAsset,,,,http://firstasset.co.kr/,Financial Services~Health Insurance~Insurance
FirstArt.co,,,1-10 employees,https://firstart.co/,Animation~Digital Entertainment~Video Games
Firstand20.com,,,1-10 employees,http://www.firstand20.com,E-Commerce~Real Estate~Web Design
FirstAssignmentHelp,,,11-50 employees,http://www.firstassignmenthelp.com/,Education
FirstAssist Insurance Services,,,,,Financial Services~Health Insurance~Insurance
Firstassist Legal Expenses,,,,,Consulting~Financial Services~Insurance~Legal
Firstathens,,,1-10 employees,http://www.firstathens.com/,Finance~Financial Services
Firstat Home Health Services,,,251-500 employees,http://firstat.com,Health Care
FirstAudit,,,11-50 employees,https://firstaudit.de,
Firstax,,,1-10 employees,https://firstax.co.uk/,Accounting~Financial Services~Legal
Firstassist Services Holdings,,,,,Consumer
FirstAidPro,,,11-50 employees,https://www.firstaidpro.com.au/,First Aid~Training
FirstAltantic Bank,,,51-100 employees,https://www.firstatlantic.bank/,Banking~Communities
Firstan,,,101-250 employees,http://www.firstan.co.uk,CAD~Manufacturing~Packaging Services
firstAI,HTML5~Google Analytics~Vimeo~jQuery~G Suite (formerly Google Apps for Work)~nginx~Google Fonts~GoDaddy DNS~DigiCert~Google Compute Engine~GlobalSign~Mailjet,2100000,11-50 employees,http://www.firstai.co,Analytics~Artificial Intelligence~Finance~FinTech~Natural Language Processing
Firstar Precision Corp,,,11-50 employees,https://www.firstarcnc.com/,Machinery Manufacturing~Project Management
FirstAttribute AG,Google Analytics~G Suite (formerly Google Apps for Work)~PHP~Microsoft Outlook~WordPress~reCAPTCHA~nginx~Microsoft Office 365~Vimeo~Google Tag Manager~ASP.NET~Adobe Flash~Polyfill~vzaar~MediaElement.js~Microsoft .NET~LiteSpeed Web Server~Plesk~Google Charts~Mouseflow~Google Maps~Skype for Business~React.js~WP Rocket,,11-50 employees,http://www.firstattribute.com,Information Technology & Services
firstaudit - Digitale Checklisten App c/o reinstil GmbH & Co. KG,,,11-50 employees,https://www.firstaudit.de,Apps~Building Maintenance~Mobile Apps~SaaS~Software
FirstBank,Google Fonts~Google Analytics~WordPress~Google Tag Manager~Google Drive~Modernizr~Adobe Flash~HTML5~DigiCert~GlobalSign~GeoTrust SSL~Adobe Analytics~Adobe Activation (Adobe Dynamic Tag Management)~Incapsula~Tumblr~Soasta mPulse~Proofpoint~Neustar UltraDNS~Wufoo~Dynatrace Ruxit~Demandware~Verisign DNS~UltiPro by Ultimate Software~NSONE,,1001-5000 employees,https://www.efirstbank.com/,Banking~Customer Service~Finance
FirstBank,Vimeo~WordPress~Google Tag Manager~Apache Web Server~PHP~reCAPTCHA~Microsoft Office 365~Google Maps~Skype for Business~GoDaddy DNS~Adobe Typekit~Fonts.com~HTML5~Google Analytics~jQuery~Underscore.js~AddThis~New Relic~Microsoft .NET~Mimecast Gateway~AWS Elastic Load Balancing~Mailgun~ASP.NET~GeoTrust SSL~Matomo (formerly Piwik)~Amazon CloudFront~Mapbox~Incapsula~Symantec Email Security.cloud~Investis~Q4 Websites~OpenSSL~S&P Global Market Intelligence,,11-50 employees,https://www.firstbankonline.com/,Banking~Finance~Financial Services
FirstBank,HTML5~Google Analytics~jQuery~Microsoft Outlook~Magento~Network Solutions~Microsoft Office 365~Newton~ZixMail~Modernizr,,1-10 employees,https://www.firstbank-ok.com/,Banking~Finance~Financial Services
FirstBank Insurance Agency,,,11-50 employees,,Property Insurance
Firstbank NW,,,1-10 employees,,Banking~Financial Services
FirstBank Private Banking,,,,http://firstbankprivatebanking.com,Banking~Financial Services
FirstBank Southwest,,,101-250 employees,http://fbsw.com,Banking~Communities~Financial Services~Venture Capital
Firstbase,,,11-50 employees,http://www.firstbase.in,Advertising~Brand Marketing~Fashion~Web Design
firstBHK,,,,https://firstbhk.com/,
Firstbeat Analytics,,,11-50 employees,https://www.firstbeatanalytics.com/en/,Analytics~Biometrics~Fitness
FirstBlink UG (haftungsbeschränkt),,,,,
Firstbank Financial Services,,,1-10 employees,,Banking~Financial Services
FirstBank of Nebraska,HTML5~Google Analytics~jQuery~Apache Web Server~PHP~WordPress~GoDaddy DNS~Google Fonts~reCAPTCHA~GoDaddy SSL~Gravity Forms~Mimecast Gateway~OpenSSL~GeoTrust SSL~Linode~WordFence~GKG Domain Registration~Flywheel,,1-10 employees,https://www.firstbankne.com/,Banking~Finance~Financial Services
FirstBank,HTML5~Google Analytics~jQuery~Google Tag Manager~reCAPTCHA~Microsoft Office 365~Cloudflare~ASP.NET~Bootstrap~New Relic~Google Fonts~Underscore.js~ShareThis~Lightbox~The Trade Desk~Plesk~CrazyEgg~Vimeo~Comodo SSL~Microsoft Azure~Oracle Data Cloud (Bluekai/Datalogix)~AddToAny~Adobe Audience Manager~Google Custom Search~BugHerd~Inspectlet~ForeSee~ZixMail~DNN Community~DNN Evoq Engage~S&P Global Market Intelligence~Neteller,,101-250 employees,https://www.fbvirginia.com/,Banking~Finance~Financial Services
FirstBaseIT,,,11-50 employees,http://www.firstbaseit.net,Information Technology & Services
Firstbase,,15100000,1-10 employees,https://www.firstbasehq.com/,Apps~Consumer Electronics~IT Management~Management Information Systems
Firstbase.io,,545000,11-50 employees,https://firstbase.io/,Business Development~Legal~Legal Tech
Firstbit,HTML5~Google Analytics~jQuery~Vimeo~Google Fonts~PHP~Bootstrap~Google Tag Manager~Apache Web Server~Adobe Typekit~Fonts.com~Lightbox~Microsoft Office 365~Yandex Metrica~FlexSlider~Drift~QQ Mail~Microsoft Outlook,,"1,001-5,000 employees",http://www.firstbit.ca/,Information Technology & Services
Firstbeat,HTML5~Google Analytics~jQuery~Google Fonts~Google Tag Manager~PHP~Vimeo~WordPress~Microsoft Outlook~reCAPTCHA~nginx~Microsoft Office 365~Google Maps~Modernizr~Skype for Business~Google Drive~Adobe Typekit~Polyfill~Cloudflare~Adobe Flash~MailChimp~Hotjar~HubSpot Marketing Hub~Font Awesome~HubSpot Website Platform~Mandrill~Twilio SendGrid~Zendesk~HubSpot CRM~Lead Flows~Gravity Forms~Amazon SES~ipstack~AWS Application Load Balancer~Zendesk Chat (Formerly Zopim)~Pusher~Freshdesk~Dyn DNS~Mailjet~ActiveCampaign~SparkPost~PubNub~LinkedIn Ads,,101-250 employees,http://www.firstbeat.com/,Analytics~Biometrics~Fitness~Personal Health~Sports~Wellness
FirstBest,HTML5~Google Fonts~jQuery~WordPress~PHP~Apache Web Server~Microsoft Outlook~nginx~Google Drive~Skype for Business~GoDaddy DNS~Adobe Flash~Bootstrap~New Relic~OpenResty~Google Doubleclick~bxSlider~Zencoder~OpenSSL~Google Compute Engine~Oracle Eloqua~Steelhouse~DuoCircle~AdRoll~TinyMCE,30775001,51-100 employees,http://firstbest.com,Consulting~Insurance~Software
FirstBoard.io,,,0-1 employees,https://www.firstboard.io,Executive Office
FirstBom (Parent Company: Worldway Electronics),,,11-50 employees,https://www.firstbom.com/,
Firstbrands,,,1-10 employees,http://www.firstbrands.de/,Business Development~Consumer~Industrial
Firstbrave,,,11-50 employees,http://www.firstbrave.com/,Enterprise~Service Industry
Firstbreath,,,,https://www.firstbreath.co.jp/,Information Technology~Management Consulting
